Date,Open,High,Low,Close,Adj Close,Volume
2013-04-30,86046.000000,86046.000000,86046.000000,86046.000000,86046.000000,0
2013-05-01,0,0,0,0,0,0
2013-05-02,88669.703125,88669.703125,88669.703125,88669.703125,88669.703125,0
2013-05-03,89093.703125,89093.703125,89093.703125,89093.703125,89093.703125,0
2013-05-06,89714.796875,89714.796875,89714.796875,89714.796875,89714.796875,0
2013-05-07,89459.500000,89459.500000,89459.500000,89459.500000,89459.500000,0
2013-05-08,90852.203125,90852.203125,90852.203125,90852.203125,90852.203125,0
2013-05-09,89931.101563,89931.101563,89931.101563,89931.101563,89931.101563,0
2013-05-10,89568.898438,89568.898438,89568.898438,89568.898438,89568.898438,0
2013-05-13,89765.203125,89765.203125,89765.203125,89765.203125,89765.203125,0
2013-05-14,91287.101563,91287.101563,91287.101563,91287.101563,91287.101563,0
2013-05-15,92112.101563,92112.101563,92112.101563,92112.101563,92112.101563,0
2013-05-16,91946.703125,91946.703125,91946.703125,91946.703125,91946.703125,0
2013-05-17,91924.796875,91924.796875,91924.796875,91924.796875,91924.796875,0
2013-05-20,90165.101563,90165.101563,90165.101563,90165.101563,90165.101563,0
2013-05-21,91190.796875,91190.796875,91190.796875,91190.796875,91190.796875,0
2013-05-22,93178.898438,93178.898438,93178.898438,93178.898438,93178.898438,0
2013-05-23,91351.398438,91351.398438,91351.398438,91351.398438,91351.398438,0
2013-05-24,91016.296875,91016.296875,91016.296875,91016.296875,91016.296875,0
2013-05-27,90546.796875,90546.796875,90546.796875,90546.796875,90546.796875,0
2013-05-28,89916.398438,89916.398438,89916.398438,89916.398438,89916.398438,0
2013-05-29,87174.500000,87174.500000,87174.500000,87174.500000,87174.500000,0
2013-05-30,87170.203125,87170.203125,87170.203125,87170.203125,87170.203125,0
2013-05-31,85990.000000,85990.000000,85990.000000,85990.000000,85990.000000,0
2013-06-03,76983.703125,76983.703125,76983.703125,76983.703125,76983.703125,0
2013-06-04,80733.203125,80733.203125,80733.203125,80733.203125,80733.203125,0
